Customer,Inter-Arrival Time,Arrival Time,Wait Time,Service Time,Service Start Time,Service End Time,Time in System,Idle Time Before Service
92,1.13,420.83,3.75,2.44,424.58,427.02,6.19,0.0
93,3.23,424.06,2.96,2.71,427.02,429.73,5.67,0.0
94,2.8,426.86,2.87,1.3,429.73,431.03,4.17,0.0
95,2.35,429.2,1.83,1.15,431.03,432.18,2.98,0.0
96,4.42,433.62,-0.0,4.57,433.62,438.19,4.57,1.44
97,7.3,440.92,0.0,2.95,440.92,443.87,2.95,2.73
98,2.29,443.21,0.66,4.76,443.87,448.63,5.42,0.0
99,6.81,450.02,-0.0,3.46,450.02,453.48,3.46,1.39
100,5.3,455.32,-0.0,2.71,455.32,458.03,2.71,1.84
101,5.53,460.85,-0.0,3.94,460.85,464.79,3.94,2.82
102,7.45,468.3,-0.0,4.3,468.3,472.6,4.3,3.51
103,7.26,475.56,-0.0,3.71,475.56,479.27,3.71,2.96
104,6.46,482.02,0.0,2.73,482.02,484.75,2.73,2.75
105,3.43,485.45,0.0,5.79,485.45,491.24,5.79,0.7
106,3.09,488.55,2.69,4.58,491.24,495.82,7.27,0.0
107,2.9,491.44,4.38,2.28,495.82,498.1,6.66,0.0
108,1.88,493.32,4.78,4.53,498.1,502.63,9.31,0.0
109,5.16,498.48,4.15,2.1,502.63,504.73,6.25,0.0
110,6.01,504.5,0.23,4.29,504.73,509.02,4.52,0.0
111,1.67,506.17,2.85,4.65,509.02,513.67,7.5,0.0
112,5.84,512.01,1.66,3.84,513.67,517.51,5.5,0.0
113,7.19,519.2,-0.0,2.35,519.2,521.55,2.35,1.69
114,5.5,524.69,0.0,3.48,524.69,528.17,3.48,3.14
115,7.2,531.89,-0.0,4.44,531.89,536.33,4.44,3.72
116,1.28,533.17,3.16,5.77,536.33,542.1,8.93,0.0
117,2.72,535.89,6.21,5.5,542.1,547.6,11.71,0.0
118,2.18,538.08,9.52,3.31,547.6,550.91,12.83,0.0
119,6.12,544.19,6.72,1.03,550.91,551.94,7.75,0.0
120,4.08,548.27,3.67,3.06,551.94,555.0,6.73,0.0
121,5.44,553.71,1.29,2.75,555.0,557.75,4.04,0.0
122,7.96,561.66,0.0,5.07,561.66,566.73,5.07,3.91
123,7.42,569.08,0.0,2.29,569.08,571.37,2.29,2.35
124,1.49,570.58,0.79,5.34,571.37,576.71,6.13,0.0
125,3.43,574.01,2.7,1.7,576.71,578.41,4.4,0.0
126,4.94,578.95,0.0,3.18,578.95,582.13,3.18,0.54
127,2.29,581.24,0.89,2.09,582.13,584.22,2.98,0.0
128,5.92,587.16,0.0,5.47,587.16,592.63,5.47,2.94
129,5.66,592.82,-0.0,5.48,592.82,598.3,5.48,0.19
130,5.76,598.58,0.0,4.47,598.58,603.05,4.47,0.28
131,2.27,600.85,2.2,1.26,603.05,604.31,3.46,0.0
132,1.25,602.1,2.21,3.11,604.31,607.42,5.32,0.0
133,7.09,609.18,0.0,2.31,609.18,611.49,2.31,1.76
134,4.29,613.48,-0.0,5.62,613.48,619.1,5.62,1.99
135,3.55,617.03,2.07,2.59,619.1,621.69,4.66,0.0
136,5.47,622.5,-0.0,2.57,622.5,625.07,2.57,0.81
137,3.14,625.64,-0.0,4.25,625.64,629.89,4.25,0.57
138,3.8,629.44,0.45,5.74,629.89,635.63,6.19,0.0
139,3.71,633.15,2.48,2.48,635.63,638.11,4.96,0.0
140,2.38,635.53,2.58,3.27,638.11,641.38,5.85,0.0
141,2.87,638.39,2.99,1.27,641.38,642.65,4.26,0.0
142,5.15,643.54,0.0,4.89,643.54,648.43,4.89,0.89
143,6.9,650.45,-0.0,3.36,650.45,653.81,3.36,2.02
